# PKHeX form -> PokeAPI sprite stems. Generated by tools/SpriteForms/build.py; do not edit.
# Form data: PokeAPI (https://github.com/PokeAPI/pokeapi) BSD-3-Clause; files: PokeAPI/sprites.
1-0	1	3	1	3
2-0	2	3	2	3
3-0	3	15	3	15
3-0g	10195	3	10195	3
3-1	10033	3	10033	3
4-0	4	3	4	3
5-0	5	3	5	3
6-0	6	3	6	3
6-0g	10196	3	10196	3
6-1	10034	3	10034	3
6-2	10035	3	10035	3
7-0	7	3	7	3
8-0	8	3	8	3
9-0	9	3	9	3
9-0g	10197	3	10197	3
9-1	10036	3	10036	3
10-0	10	3	10	3
11-0	11	3	11	3
12-0	12	15	12	15
12-0g	10198	3	10198	3
13-0	13	3	13	3
14-0	14	3	14	3
15-0	15	3	15	3
15-1	10090	3	10090	3
16-0	16	3	16	3
17-0	17	3	17	3
18-0	18	3	18	3
18-1	10073	3	10073	3
19-0	19	15	19	15
19-1	10091	3	10091	3
20-0	20	15	20	15
20-1	10092	3	10092	3
20-2	10093	3	10093	3
21-0	21	3	21	3
22-0	22	3	22	3
23-0	23	3	23	3
24-0	24	3	24	3
25-0	25	15	25	15
25-0g	10199	3	10199	3
25-1	10094	1	10094	3
25-1c	-	0	10080	3
25-2	10095	1	10095	3
25-2c	-	0	10081	3
25-3	10096	1	10096	3
25-3c	-	0	10082	3
25-4	10097	1	10097	3
25-4c	-	0	10083	3
25-5	10098	1	10098	3
25-5c	-	0	10084	3
25-6	10099	1	10099	3
25-6c	-	0	10085	3
25-7	10148	3	10148	3
25-8	-	0	10158	3
25-9	10160	1	10160	3
26-0	26	15	26	15
26-1	10100	3	10100	3
26-2	10304	3	-	0
26-3	10305	3	-	0
27-0	27	3	27	3
27-1	10101	3	10101	3
28-0	28	3	28	3
28-1	10102	3	10102	3
29-0	29	3	29	3
30-0	30	3	30	3
31-0	31	3	31	3
32-0	32	3	32	3
33-0	33	3	33	3
34-0	34	3	34	3
35-0	35	3	35	3
36-0	36	3	36	3
36-1	10278	3	10278	3
37-0	37	3	37	3
37-1	10103	3	10103	3
38-0	38	3	38	3
38-1	10104	3	10104	3
39-0	39	3	39	3
40-0	40	3	40	3
41-0	41	15	41	15
42-0	42	15	42	15
43-0	43	3	43	3
44-0	44	15	44	15
45-0	45	15	45	15
46-0	46	3	46	3
47-0	47	3	47	3
48-0	48	3	48	3
49-0	49	3	49	3
50-0	50	3	50	3
50-1	10105	3	10105	3
51-0	51	3	51	3
51-1	10106	3	10106	3
52-0	52	3	52	3
52-0g	10200	3	10200	3
52-1	10107	3	10107	3
52-2	10161	3	10161	3
53-0	53	3	53	3
53-1	10108	3	10108	3
54-0	54	3	54	3
55-0	55	3	55	3
56-0	56	3	56	3
57-0	57	3	57	3
58-0	58	3	58	3
58-1	10229	3	10229	3
59-0	59	3	59	3
59-1	10230	3	10230	3
59-2	10230	3	10230	3
60-0	60	3	60	3
61-0	61	3	61	3
62-0	62	3	62	3
63-0	63	3	63	3
64-0	64	15	64	15
65-0	65	15	65	15
65-1	10037	3	10037	3
66-0	66	3	66	3
67-0	67	3	67	3
68-0	68	3	68	3
68-0g	10201	3	10201	3
69-0	69	3	69	3
70-0	70	3	70	3
71-0	71	3	71	3
71-1	10279	3	10279	3
72-0	72	3	72	3
73-0	73	3	73	3
74-0	74	3	74	3
74-1	10109	3	10109	3
75-0	75	3	75	3
75-1	10110	3	10110	3
76-0	76	3	76	3
